disease,date,count
abdominal-muscles-questions,2012-10,3
abdominal-pain-questions,2012-10,3
ablation-questions,2012-10,8
abscess-questions,2012-10,2
acetaminophen-questions,2012-10,2
acne-questions,2012-10,9
addiction-questions,2012-10,2
adenoma-questions,2012-10,2
adrenal-tumor-questions,2012-10,2
aids-questions,2012-10,5
alcoholic-beverage-questions,2012-10,2
allergic-reaction-questions,2012-10,9
allergy-questions,2012-10,24
almond-questions,2012-10,4
amoxicillin-questions,2012-10,6
amputation-questions,2012-10,2
anaphylactic-shock-questions,2012-10,2
anaphylaxis-questions,2012-10,2
anemia-questions,2012-10,2
anesthesia-questions,2012-10,2
aneurysm-questions,2012-10,2
anger-questions,2012-10,4
angina-questions,2012-10,4
angioplasty-questions,2012-10,2
ankle-questions,2012-10,29
antibiotic-questions,2012-10,29
antidepressant-questions,2012-10,9
anti-inflammatory-questions,2012-10,2
anus-questions,2012-10,10
anxiety-questions,2012-10,34
appendix-questions,2012-10,6
armpit-questions,2012-10,12
arm-questions,2012-10,104
artery-questions,2012-10,9
arthritis-questions,2012-10,5
arthropathy-questions,2012-10,2
aspirin-questions,2012-10,8
asthma-questions,2012-10,10
astigmatism-questions,2012-10,2
atherosclerosis-questions,2012-10,2
athletes-foot-questions,2012-10,2
autism-questions,2012-10,6
autoimmune-disorder-questions,2012-10,2
b12-questions,2012-10,3
baby-questions,2012-10,48
back-pain-questions,2012-10,35
bacterial-pneumonia-questions,2012-10,2
bacterial-vaginosis-questions,2012-10,3
bacterium-questions,2012-10,23
baldness-questions,2012-10,2
belly-button-questions,2012-10,11
benign-questions,2012-10,9
benzoyl-peroxide-questions,2012-10,2
beta-blocker-questions,2012-10,3
beta-carotene-questions,2012-10,2
beverages-questions,2012-10,3
big-toe-questions,2012-10,8
biopsy-questions,2012-10,6
bipolar-disorder-questions,2012-10,14
birth-control-pill-questions,2012-10,16
birth-control-questions,2012-10,55
birth-questions,2012-10,6
bladder-questions,2012-10,11
blindness-questions,2012-10,5
blister-questions,2012-10,23
bloating-questions,2012-10,14
blood-clot-questions,2012-10,14
blood-pressure-questions,2012-10,44
blood-sugar-questions,2012-10,15
blood-test-questions,2012-10,23
blood-thinner-questions,2012-10,2
boil-questions,2012-10,15
borderline-personality-disorder-questions,2012-10,2
bowel-movement-questions,2012-10,32
brain-questions,2012-10,37
brain-tumor-questions,2012-10,5
breast-enlargement-questions,2012-10,2
breastfeed-questions,2012-10,7
breast-fibroadenoma-questions,2012-10,2
breast-questions,2012-10,61
broken-toe-questions,2012-10,2
bruise-questions,2012-10,23
burn-questions,2012-10,13
buttocks-questions,2012-10,3
caffeine-questions,2012-10,4
calcium-questions,2012-10,13
calf-questions,2012-10,9
calorie-questions,2012-10,6
cancer-questions,2012-10,33
canker-sore-questions,2012-10,3
carotid-artery-questions,2012-10,2
carpal-tunnel-syndrome-questions,2012-10,2
carrot-questions,2012-10,6
castor-oil-questions,2012-10,2
catheterization-questions,2012-10,2
cats-questions,2012-10,8
cavity-questions,2012-10,2
celiac-disease-questions,2012-10,7
cerebral-palsy-questions,2012-10,2
cervix-questions,2012-10,7
chai-questions,2012-10,2
chemotherapy-questions,2012-10,7
chest-questions,2012-10,79
chickenpox-questions,2012-10,12
chlamydia-questions,2012-10,11
choking-questions,2012-10,2
cholesterol-questions,2012-10,8
chronic-pain-questions,2012-10,2
circulation-questions,2012-10,12
clitoris-questions,2012-10,4
coffee-questions,2012-10,21
cold-cream-questions,2012-10,2
coldness-questions,2012-10,83
cold-questions,2012-10,12
cold-sore-questions,2012-10,6
collapsed-lung-questions,2012-10,2
collarbone-questions,2012-10,6
colon-cancer-questions,2012-10,7
colonoscopy-questions,2012-10,7
colon-questions,2012-10,5
colostomy-questions,2012-10,2
concentration-questions,2012-10,2
conception-questions,2012-10,2
concussion-questions,2012-10,2
condom-questions,2012-10,17
confusion-questions,2012-10,11
consciousness-questions,2012-10,2
constipation-questions,2012-10,13
cooking-questions,2012-10,6
coronary-disease-questions,2012-10,2
corpulence-questions,2012-10,11
cortisone-questions,2012-10,2
coughing-up-blood-questions,2012-10,2
cough-questions,2012-10,49
cpap-questions,2012-10,2
cramps-questions,2012-10,58
cranberry-questions,2012-10,2
craving-questions,2012-10,8
creatinine-questions,2012-10,5
crying-questions,2012-10,8
cuts-questions,2012-10,2
cyst-questions,2012-10,34
dairy-questions,2012-10,2
degenerative-disc-disease-questions,2012-10,2
dementia-questions,2012-10,2
dental-questions,2012-10,3
depo-provera-questions,2012-10,2
depression-questions,2012-10,26
diabetes-questions,2012-10,48
diaper-rash-questions,2012-10,3
diarrhea-questions,2012-10,33
diet-questions,2012-10,87
digestive-system-questions,2012-10,3
diverticulitis-questions,2012-10,4
diverticulosis-questions,2012-10,2
dizziness-questions,2012-10,37
dna-test-questions,2012-10,2
dog-questions,2012-10,15
drainage-questions,2012-10,14
drinking-questions,2012-10,84
drowning-questions,2012-10,2
drowsiness-questions,2012-10,4
drug-abuse-questions,2012-10,2
drug-overdose-questions,2012-10,5
drug-questions,2012-10,39
drug-test-questions,2012-10,6
dry-skin-questions,2012-10,2
ear-drum-questions,2012-10,2
ear-infection-questions,2012-10,10
ears-questions,2012-10,77
easily-distracted-questions,2012-10,2
edema-questions,2012-10,2
egg-whites-questions,2012-10,2
ejaculation-questions,2012-10,40
elbow-questions,2012-10,11
embolism-questions,2012-10,2
emergency-room-questions,2012-10,13
endoscopy-questions,2012-10,8
enema-questions,2012-10,2
eosinophilic-esophagitis-questions,2012-10,2
epidural-questions,2012-10,2
epilepsy-questions,2012-10,2
erectile-dysfunction-questions,2012-10,2
erection-questions,2012-10,6
erosion-questions,2012-10,2
esophagus-questions,2012-10,8
estrogen-questions,2012-10,4
exercise-questions,2012-10,78
exercise-stress-test-questions,2012-10,4
exposure-questions,2012-10,4
eye-allergy-questions,2012-10,2
eyeball-questions,2012-10,2
eyebrow-questions,2012-10,2
eyelid-questions,2012-10,9
eyes-questions,2012-10,98
fallopian-tube-questions,2012-10,2
family-questions,2012-10,18
fatigue-questions,2012-10,28
fatty-liver-disease-questions,2012-10,2
fear-questions,2012-10,30
feeding-questions,2012-10,8
femur-questions,2012-10,8
fertility-questions,2012-10,13
fever-questions,2012-10,40
fiber-questions,2012-10,3
fibromyalgia-questions,2012-10,12
finger-questions,2012-10,28
fish-questions,2012-10,8
flashback-questions,2012-10,2
flu-questions,2012-10,41
folic-acid-questions,2012-10,2
food-allergy-questions,2012-10,2
food-poisoning-questions,2012-10,4
food-questions,2012-10,78
foot-questions,2012-10,65
forearm-questions,2012-10,14
forehead-questions,2012-10,6
foreskin-questions,2012-10,2
forgetfulness-questions,2012-10,4
fracture-questions,2012-10,17
fruit-questions,2012-10,14
gallbladder-cancer-questions,2012-10,2
gallbladder-questions,2012-10,11
gallstone-questions,2012-10,2
garlic-questions,2012-10,6
gastric-bypass-surgery-questions,2012-10,10
gastritis-questions,2012-10,2
general-anesthesia-questions,2012-10,2
genital-herpes-questions,2012-10,4
genitalia-questions,2012-10,3
gonorrhea-questions,2012-10,3
grief-questions,2012-10,2
grip-questions,2012-10,2
hair-loss-questions,2012-10,6
hair-questions,2012-10,38
hallucination-questions,2012-10,2
hand-foot-and-mouth-disease-questions,2012-10,2
hand-questions,2012-10,71
headache-questions,2012-10,39
head-injury-questions,2012-10,5
head-questions,2012-10,102
healing-questions,2012-10,27
healthy-eating-questions,2012-10,17
hearing-loss-questions,2012-10,7
heart-attack-questions,2012-10,9
heartburn-questions,2012-10,12
heart-disease-questions,2012-10,8
heart-murmur-questions,2012-10,3
heart-questions,2012-10,62
heel-questions,2012-10,8
height-questions,2012-10,6
hemangioma-questions,2012-10,2
hemmorhoid-questions,2012-10,2
hepatitis-b-questions,2012-10,4
hepatitis-questions,2012-10,2
herb-questions,2012-10,2
hernia-questions,2012-10,9
herniated-disc-questions,2012-10,5
herpes-questions,2012-10,53
