congestive heart failure,2010
peyronie's disease,2010
pinched nerve,2010
hypertrophic cardiomyopathy,2010
traveler's diarrhea,2010
autoimmune hepatitis,2010
vascular dementia,2010
erectile dysfunction,2010
polycystic ovary syndrome,2010
male infertility,2012
rotator cuff injury,2012
depression,2012
knee pain,2012
nonulcer stomach pain,2012
urinary tract infection,2012
tinea versicolor,2012
macular degeneration, wet,2012
alcohol addiction,2012
cholestasis of pregnancy,2012
pink eye,2012
mixed connective tissue disease,2012
knee pain,2013
high blood pressure,2013
low blood pressure,2013
stomach ulcer,2013
heel pain,2013
bronchitis,2013
chronic constipation,2013
bacterial vaginosis,2013
contact dermatitis,2013
yeast infection,2013
erectile dysfunction,2013
pink eye,2013
type 1 diabetes,2013
hemorrhoids,2013
ear infection,2013
urinary tract infection,2013
high blood pressure, secondary,2013
angina,2013
depression,2013
swollen lymph nodes,2013
arrhythmia,2013
bacterial vaginosis,2013
urinary tract infection,2013
cold sore,2013
iron deficiency anemia,2013
brain tumor,2013
painful intercourse,2013
depression,2013
dumping syndrome,2013
dumping syndrome,2013
nose fracture,2013
ectopic pregnancy,2013
panic attacks and panic disorder,2013
asthma,2013
scoliosis,2013
sleep apnea,2013
cold exposure,2013
pilonidal cyst,2013
adrenal insufficiency,2014
chronic constipation,2014
testicular cancer,2014
nail fungus,2014
painful intercourse,2014
degenerative disk disease,2014
eyelid inflammation,2014
hand-foot-and-mouth disease,2014
breast pain,2014
urinary tract infection,2014
sleep apnea,2014
wrist pain,2014
molar pregnancy,2014
balance problems,2014
back pain,2014
clinical depression,2014
liver disease,2014
delayed ejaculation,2014
depression,2014
sexually transmitted diseases,2014
miscarriage,2014
social anxiety disorder,2014
drug allergy,2014
postpartum depression,2014
cushing syndrome,2014
horner syndrome,2014
eating disorders,2014
kidney stones,2014
stress cardiomyopathy,2014
chest pain,2014
iron deficiency anemia,2014
histrionic personality disorder,2014
atrial fibrillation,2014
lyme disease,2014
swollen lymph nodes,2014
pain, chest,2014
urinary tract infection,2014
posterior cruciate ligament injury,2014
pancreatic cancer,2014
rotator cuff injury,2014
genital warts,2014
vaginal agenesis,2014
carpal tunnel syndrome,2014
breast pain,2014
syphilis,2014
erectile dysfunction,2014
muscle strain,2014
rotator cuff injury,2014
swollen lymph nodes,2014
kidney stones,2014
ear infection,2014
back pain,2014
hypothyroidism,2014
sciatica,2014
heart palpitations,2014
molar pregnancy,2014
urinary tract infection,2014
traumatic brain injury,2014
heart failure,2014
testicular torsion,2014
sad,2014
atrophic vaginitis,2014
congestive heart failure,2014
weight loss,2014
urinary tract infection,2014
hypospadias,2014
overactive bladder,2014
osteoarthritis,2014
appendicitis,2014
renal cell carcinoma,2014
peripheral neuropathy,2014
adrenal insufficiency,2014
contact dermatitis,2014
early menopause,2014
priapism,2014
subfertility,2014
weight loss,2014
eczema,2014
hemorrhoids,2014
nose fracture,2014
cushing syndrome,2014
