topic,date,count
abdominal-hernia-questions,2014-06,2
abdominal-muscles-questions,2012-10,3
abdominal-muscles-questions,2012-12,2
abdominal-obesity-questions,2010-08,3
abdominal-obesity-questions,2010-09,2
abdominal-obesity-questions,2012-12,2
abdominal-obesity-questions,2013-05,2
abdominal-obesity-questions,2014-09,2
abdominal-pain-questions,2010-09,3
abdominal-pain-questions,2012-10,3
abdominal-pain-questions,2012-11,12
abdominal-pain-questions,2012-12,8
abdominal-pain-questions,2013-01,8
abdominal-pain-questions,2013-02,12
abdominal-pain-questions,2013-06,2
abdominal-pain-questions,2013-07,4
abdominal-pain-questions,2013-09,6
abdominal-pain-questions,2013-10,4
abdominal-pain-questions,2013-11,9
abdominal-pain-questions,2013-12,4
abdominal-pain-questions,2014-01,10
abdominal-pain-questions,2014-02,6
abdominal-pain-questions,2014-03,6
abdominal-pain-questions,2014-05,7
abdominal-pain-questions,2014-06,6
abdominal-pain-questions,2014-08,2
abdominal-pain-questions,2014-09,3
abdominal-pain-questions,2014-10,2
abdominal-pain-questions,2014-11,4
abdominal-pain-questions,2014-12,2
abdominal-surgery-questions,2012-11,2
abdominal-surgery-questions,2012-12,2
ablation-questions,2010-07,2
ablation-questions,2010-08,2
ablation-questions,2012-10,8
ablation-questions,2013-06,6
ablation-questions,2013-08,2
ablation-questions,2014-07,4
ablation-questions,2014-10,2
abortion-questions,2013-02,4
abortion-questions,2013-03,10
abortion-questions,2013-08,2
abortion-questions,2013-09,2
abortion-questions,2013-12,4
abortion-questions,2014-02,6
abortion-questions,2014-03,4
abortion-questions,2014-05,4
abortion-questions,2014-08,8
abortion-questions,2014-09,2
abortion-questions,2014-10,4
abortion-questions,2014-11,2
abortion-questions,2014-12,2
abscess-questions,2012-10,2
abscess-questions,2012-11,2
abscess-questions,2013-02,2
abscess-questions,2013-04,6
abscess-questions,2013-08,2
abscess-questions,2013-12,2
abscess-questions,2014-02,2
abscess-questions,2014-03,2
abscess-questions,2014-04,4
abscess-questions,2014-05,3
abscess-questions,2014-08,2
abscess-questions,2014-09,2
abscess-questions,2014-10,2
abscess-questions,2014-11,2
abscess-questions,2014-12,2
abstinence-questions,2013-08,2
aca,2013-08,2
aca,2013-09,4
aca,2013-10,2
aca,2013-11,2
aca,2014-03,4
ace-inhibitor-questions,2012-11,2
ace-inhibitor-questions,2013-03,2
acetaminophen-questions,2010-08,18
acetaminophen-questions,2012-10,2
acetaminophen-questions,2012-11,11
acetaminophen-questions,2012-12,14
acetaminophen-questions,2013-01,2
acetaminophen-questions,2013-02,4
acetaminophen-questions,2013-03,10
acetaminophen-questions,2013-04,6
acetaminophen-questions,2013-05,4
acetaminophen-questions,2013-06,12
acetaminophen-questions,2013-07,5
acetaminophen-questions,2013-08,4
acetaminophen-questions,2013-09,4
acetaminophen-questions,2013-11,2
acetaminophen-questions,2013-12,4
acetaminophen-questions,2014-01,8
acetaminophen-questions,2014-02,2
acetaminophen-questions,2014-05,7
acetaminophen-questions,2014-08,2
acetaminophen-questions,2014-11,2
acetone-questions,2013-09,3
acetone-questions,2014-03,2
achilles-tendon-questions,2013-06,3
achilles-tendon-questions,2013-07,2
achilles-tendon-questions,2013-08,2
achilles-tendon-questions,2014-02,2
acne-questions,2010-08,4
acne-questions,2010-09,4
acne-questions,2012-10,9
acne-questions,2012-11,17
acne-questions,2012-12,22
acne-questions,2013-01,19
acne-questions,2013-02,21
acne-questions,2013-03,9
acne-questions,2013-04,10
acne-questions,2013-05,9
acne-questions,2013-06,13
acne-questions,2013-07,15
acne-questions,2013-08,6
acne-questions,2013-09,4
acne-questions,2013-10,6
acne-questions,2013-11,4
acne-questions,2013-12,12
acne-questions,2014-01,5
acne-questions,2014-02,2
acne-questions,2014-03,2
acne-questions,2014-04,4
acne-questions,2014-05,9
acne-questions,2014-07,8
acne-questions,2014-08,10
acne-questions,2014-09,3
acne-questions,2014-11,4
acne-questions,2014-12,2
acupuncture-questions,2010-06,2
acupuncture-questions,2013-09,2
acupuncture-questions,2013-11,2
acupuncture-questions,2014-04,2
acupuncture-questions,2014-10,2
acute-bronchitis-questions,2012-12,4
acute-bronchitis-questions,2013-03,2
acute-bronchitis-questions,2014-02,2
acute-bronchitis-questions,2014-05,2
acute-pancreatitis-questions,2014-01,2
acute-pancreatitis-questions,2014-03,4
acute-pancreatitis-questions,2014-05,2
acute-respiratory-distress-syndrome-questions,2014-03,2
acute-sinusitis-questions,2013-11,2
addiction-questions,2012-10,2
addiction-questions,2012-11,5
addiction-questions,2013-01,7
addiction-questions,2013-02,2
addiction-questions,2013-03,2
addiction-questions,2013-05,5
addiction-questions,2014-03,2
addiction-questions,2014-06,6
addiction-questions,2014-07,2
addiction-questions,2014-10,6
adenoidectomy-questions,2014-06,2
adenoma-questions,2012-10,2
adenomyosis-questions,2013-10,2
adolescent-questions,2014-10,2
adrenal-gland-questions,2010-09,2
adrenal-gland-questions,2012-11,2
adrenal-gland-questions,2013-06,3
adrenal-gland-questions,2014-09,3
adrenal-tumor-questions,2012-10,2
adult-acne-questions,2010-09,2
adult-acne-questions,2012-11,1
adult-acne-questions,2014-02,2
affordable-care-act,2013-07,8
affordable-care-act,2013-08,2
affordable-care-act,2013-09,2
affordable-care-act,2013-10,6
affordable-care-act,2013-11,2
affordable-care-act,2013-12,5
affordable-care-act,2014-05,5
aggression-questions,2012-11,2
aggression-questions,2012-12,2
aggression-questions,2013-05,2
aggression-questions,2014-03,2
aggression-questions,2014-04,3
aggression-questions,2014-05,4
aggression-questions,2014-10,4
aggressive-behavior-questions,2014-08,2
aging-questions,2010-07,2
aging-questions,2010-11,2
aging-questions,2012-11,2
aging-questions,2013-01,2
aging-questions,2013-08,3
aging-questions,2013-12,2
aging-questions,2014-01,3
aging-questions,2014-03,5
aging-questions,2014-11,4
aids-questions,2010-07,2
aids-questions,2010-08,2
aids-questions,2012-10,5
aids-questions,2013-01,2
aids-questions,2013-02,2
aids-questions,2013-03,3
aids-questions,2013-05,2
aids-questions,2013-06,6
aids-questions,2013-08,9
aids-questions,2013-12,2
aids-questions,2014-01,2
aids-questions,2014-03,2
aids-questions,2014-04,2
aids-questions,2014-05,4
aids-questions,2014-08,1
aids-questions,2014-09,2
air-quality-questions,2012-11,2
alabama-questions,2013-10,2
alabama-questions,2014-03,3
albinism-questions,2014-05,2
alcohol-abuse-questions,2013-09,5
alcohol-abuse-questions,2014-03,4
alcoholic-beverage-questions,2010-08,2
alcoholic-beverage-questions,2012-10,2
alcoholic-beverage-questions,2013-12,2
alcoholic-beverage-questions,2014-01,6
alcoholic-beverage-questions,2014-03,2
alcoholic-beverage-questions,2014-04,2
alcoholic-beverage-questions,2014-09,3
alcoholism-questions,2012-12,2
alcoholism-questions,2013-01,2
alcoholism-questions,2013-06,3
alcoholism-questions,2013-09,2
alcoholism-questions,2013-10,10
alcoholism-questions,2013-11,3
alcoholism-questions,2014-01,2
alcoholism-questions,2014-04,5
alcoholism-questions,2014-06,2
alcoholism-questions,2014-07,4
alcoholism-questions,2014-08,2
alcoholism-questions,2014-09,2
alcoholism-questions,2014-10,2
alcoholism-questions,2014-11,2
alcohol-withdrawal-questions,2014-03,3
allergic-asthma-questions,2014-11,2
allergic-reaction-questions,2010-06,2
allergic-reaction-questions,2010-08,2
allergic-reaction-questions,2012-10,9
allergic-reaction-questions,2012-12,4
allergic-reaction-questions,2013-02,3
allergic-reaction-questions,2013-03,4
allergic-reaction-questions,2013-06,4
allergic-reaction-questions,2013-07,4
allergic-reaction-questions,2013-08,6
allergic-reaction-questions,2013-09,9
allergic-reaction-questions,2013-10,4
allergic-reaction-questions,2014-02,2
allergic-reaction-questions,2014-03,6
allergic-reaction-questions,2014-04,7
allergic-reaction-questions,2014-05,3
allergic-reaction-questions,2014-06,10
allergic-reaction-questions,2014-07,4
allergic-reaction-questions,2014-08,2
allergic-reaction-questions,2014-09,3
allergic-reaction-questions,2014-10,2
allergic-reaction-questions,2014-11,4
allergy-questions,2010-06,10
allergy-questions,2010-07,3
allergy-questions,2010-08,6
allergy-questions,2010-09,5
allergy-questions,2012-10,24
allergy-questions,2012-11,8
allergy-questions,2012-12,10
allergy-questions,2013-01,14
allergy-questions,2013-02,7
allergy-questions,2013-03,4
allergy-questions,2013-04,10
allergy-questions,2013-05,15
allergy-questions,2013-06,12
allergy-questions,2013-07,8
allergy-questions,2013-08,12
allergy-questions,2013-09,8
allergy-questions,2013-10,5
allergy-questions,2013-11,14
allergy-questions,2013-12,8
allergy-questions,2014-01,4
allergy-questions,2014-02,6
allergy-questions,2014-03,20
allergy-questions,2014-04,10
allergy-questions,2014-06,8
allergy-questions,2014-07,8
allergy-questions,2014-08,2
allergy-questions,2014-09,6
allergy-questions,2014-10,8
allergy-questions,2014-11,12
almond-questions,2012-10,4
almond-questions,2012-11,3
almond-questions,2012-12,4
almond-questions,2014-02,2
almond-questions,2014-04,2
almond-questions,2014-05,4
almond-questions,2014-07,6
almond-questions,2014-08,2
almond-questions,2014-09,2
almond-questions,2014-10,2
aloe-questions,2012-12,2
aloe-questions,2013-09,2
aloe-questions,2014-05,3
aloe-vera-questions,2013-04,2
aloe-vera-questions,2014-02,2
aloe-vera-questions,2014-03,2
aloe-vera-questions,2014-07,2
alopecia-questions,2014-08,2
alternative-medicine-questions,2014-02,2
alzheimers-disease-questions,2010-07,4
alzheimers-disease-questions,2010-08,4
alzheimers-disease-questions,2010-09,2
alzheimers-disease-questions,2012-11,2
alzheimers-disease-questions,2012-12,2
alzheimers-disease-questions,2013-02,2
alzheimers-disease-questions,2013-04,5
alzheimers-disease-questions,2013-06,4
alzheimers-disease-questions,2014-11,2
ammonia-questions,2010-08,2
ammonia-questions,2012-11,4
ammonia-questions,2013-01,3
ammonia-questions,2013-02,2
ammonia-questions,2013-04,2
ammonia-questions,2013-07,2
ammonia-questions,2013-08,2
ammonia-questions,2013-09,2
ammonia-questions,2013-11,2
ammonia-questions,2013-12,6
ammonia-questions,2014-01,2
ammonia-questions,2014-02,4
ammonia-questions,2014-03,2
ammonia-questions,2014-05,2
ammonia-questions,2014-08,2
ammonia-questions,2014-09,2
amnesia-questions,2014-02,2
amoxicillin-questions,2010-08,8
amoxicillin-questions,2012-10,6
amoxicillin-questions,2012-11,8
amoxicillin-questions,2012-12,4
amoxicillin-questions,2013-01,8
amoxicillin-questions,2013-02,4
amoxicillin-questions,2013-03,4
amoxicillin-questions,2013-06,11
amoxicillin-questions,2013-07,2
amoxicillin-questions,2013-08,8
amoxicillin-questions,2013-09,6
amoxicillin-questions,2013-10,2
amoxicillin-questions,2013-11,4
amoxicillin-questions,2013-12,2
amoxicillin-questions,2014-01,4
amoxicillin-questions,2014-02,8
amoxicillin-questions,2014-03,10
amoxicillin-questions,2014-04,2
amoxicillin-questions,2014-05,2
amoxicillin-questions,2014-06,2
amoxicillin-questions,2014-07,6
amoxicillin-questions,2014-08,4
amoxicillin-questions,2014-09,2
amoxicillin-questions,2014-10,2
amoxicillin-questions,2014-12,2
amputation-questions,2012-10,2
amputation-questions,2012-12,2
amputation-questions,2013-02,2
amputation-questions,2014-03,2
amyotrophic-lateral-sclerosis-questions,2012-12,5
anal-abscess-questions,2013-06,2
anal-cancer-questions,2013-07,2
anal-fissure-questions,2013-02,2
anal-fissure-questions,2013-10,2
anal-fissure-questions,2013-12,2
anal-fissure-questions,2014-03,2
anal-fissure-questions,2014-06,2
anal-fissure-questions,2014-08,3
anal-fissure-questions,2014-09,2
anal-wart-questions,2012-12,2
anal-wart-questions,2014-01,2
anaphylactic-shock-questions,2012-10,2
anaphylaxis-questions,2012-10,2
anaphylaxis-questions,2013-12,2
anastomosis-questions,2013-08,2
ana-test-questions,2010-08,2
anatomy-questions,2014-01,2
anemia-questions,2010-08,2
anemia-questions,2012-10,2
anemia-questions,2012-11,15
anemia-questions,2012-12,4
anemia-questions,2013-04,2
anemia-questions,2013-06,4
anemia-questions,2013-07,2
anemia-questions,2013-08,2
anemia-questions,2013-10,2
anemia-questions,2013-12,2
anemia-questions,2014-02,6
anemia-questions,2014-03,5
anemia-questions,2014-04,2
anemia-questions,2014-05,4
anemia-questions,2014-08,2
anemia-questions,2014-09,2
anesthesia-questions,2010-09,2
anesthesia-questions,2012-10,2
anesthesia-questions,2012-11,2
anesthesia-questions,2013-06,2
anesthesia-questions,2013-08,2
anesthesia-questions,2013-10,2
anesthesia-questions,2013-11,2
anesthesia-questions,2014-01,2
anesthesia-questions,2014-03,2
anesthesia-questions,2014-05,2
anesthesia-questions,2014-10,2
anesthesia-questions,2014-12,2
aneurysm-questions,2012-10,2
aneurysm-questions,2012-11,2
aneurysm-questions,2014-04,3
aneurysm-questions,2014-05,2
aneurysm-questions,2014-07,4
anger-management-questions,2013-07,2
anger-questions,2012-10,4
anger-questions,2012-11,4
anger-questions,2012-12,6
anger-questions,2013-01,2
anger-questions,2013-02,4
anger-questions,2013-03,2
anger-questions,2013-04,6
anger-questions,2013-05,8
anger-questions,2013-06,6
anger-questions,2013-07,2
anger-questions,2013-08,8
anger-questions,2013-09,4
anger-questions,2013-10,2
anger-questions,2013-11,2
anger-questions,2014-02,4
anger-questions,2014-03,5
anger-questions,2014-04,5
anger-questions,2014-05,6
anger-questions,2014-07,6
anger-questions,2014-08,3
anger-questions,2014-10,8
anger-questions,2014-11,2
angina-questions,2012-10,4
angina-questions,2013-06,4
angiogram-questions,2012-11,2
angioplasty-questions,2012-10,2
angioplasty-questions,2012-11,2
angioplasty-questions,2013-06,6
angioplasty-questions,2013-08,2
angioplasty-questions,2013-09,2
angioplasty-questions,2014-03,2
ankle-pain-questions,2013-12,2
ankle-pain-questions,2014-03,2
ankle-pain-questions,2014-07,2
ankle-questions,2010-08,14
ankle-questions,2012-10,29
ankle-questions,2012-11,14
ankle-questions,2012-12,17
ankle-questions,2013-01,6
ankle-questions,2013-02,11
ankle-questions,2013-03,7
ankle-questions,2013-04,7
ankle-questions,2013-05,2
ankle-questions,2013-06,26
ankle-questions,2013-07,14
ankle-questions,2013-08,8
ankle-questions,2013-09,2
ankle-questions,2013-10,9
ankle-questions,2013-11,6
ankle-questions,2013-12,5
ankle-questions,2014-01,2
ankle-questions,2014-02,12
ankle-questions,2014-03,18
ankle-questions,2014-04,13
ankle-questions,2014-05,11
ankle-questions,2014-06,6
ankle-questions,2014-07,22
ankle-questions,2014-08,8
ankle-questions,2014-09,7
ankle-questions,2014-10,14
ankle-questions,2014-11,8
ankle-questions,2014-12,2
anorexia-questions,2013-02,2
anorexia-questions,2013-06,4
anorexia-questions,2013-08,6
anorexia-questions,2013-10,2
anterior-cruciate-ligament-injury-questions,2010-07,2
anterior-cruciate-ligament-injury-questions,2013-03,2
anti-aging-questions,2014-01,2
anti-aging-questions,2014-06,2
antibiotic-questions,2010-06,6
antibiotic-questions,2010-08,5
antibiotic-questions,2010-10,2
antibiotic-questions,2012-10,29
antibiotic-questions,2012-11,66
antibiotic-questions,2012-12,45
antibiotic-questions,2013-01,43
antibiotic-questions,2013-02,35
antibiotic-questions,2013-03,37
antibiotic-questions,2013-04,29
antibiotic-questions,2013-05,11
antibiotic-questions,2013-06,16
antibiotic-questions,2013-07,17
antibiotic-questions,2013-08,28
antibiotic-questions,2013-09,32
antibiotic-questions,2013-10,27
antibiotic-questions,2013-11,36
antibiotic-questions,2013-12,23
antibiotic-questions,2014-01,33
antibiotic-questions,2014-02,28
antibiotic-questions,2014-03,41
antibiotic-questions,2014-04,25
antibiotic-questions,2014-05,43
antibiotic-questions,2014-06,13
antibiotic-questions,2014-07,25
antibiotic-questions,2014-08,23
antibiotic-questions,2014-09,27
antibiotic-questions,2014-10,25
antibiotic-questions,2014-11,24
antibiotic-questions,2014-12,4
antibiotic-use-questions,2013-07,2
antibiotic-use-questions,2014-08,3
antidepressant-questions,2010-05,3
antidepressant-questions,2010-08,2
antidepressant-questions,2012-10,9
antidepressant-questions,2012-11,9
antidepressant-questions,2012-12,12
antidepressant-questions,2013-02,8
antidepressant-questions,2013-03,7
antidepressant-questions,2013-06,2
antidepressant-questions,2013-07,4
antidepressant-questions,2013-08,4
antidepressant-questions,2013-09,6
antidepressant-questions,2013-11,2
antidepressant-questions,2013-12,2
antidepressant-questions,2014-01,2
antidepressant-questions,2014-03,2
antidepressant-questions,2014-07,3
antidepressant-questions,2014-10,2
anti-inflammatory-questions,2012-10,2
anti-inflammatory-questions,2013-07,2
anti-inflammatory-questions,2013-09,2
anti-inflammatory-questions,2013-11,2
anti-inflammatory-questions,2014-04,2
anti-inflammatory-questions,2014-06,3
anus-questions,2010-07,2
anus-questions,2010-08,4
anus-questions,2012-10,10
anus-questions,2012-11,12
anus-questions,2012-12,19
anus-questions,2013-01,6
anus-questions,2013-02,18
anus-questions,2013-03,2
anus-questions,2013-04,4
anus-questions,2013-05,7
anus-questions,2013-06,16
anus-questions,2013-07,24
anus-questions,2013-08,6
anus-questions,2013-09,10
anus-questions,2013-10,18
anus-questions,2013-11,6
anus-questions,2013-12,25
anus-questions,2014-01,13
anus-questions,2014-02,6
anus-questions,2014-03,8
anus-questions,2014-04,14
anus-questions,2014-05,9
anus-questions,2014-06,12
anus-questions,2014-07,15
anus-questions,2014-08,5
anus-questions,2014-09,3
anus-questions,2014-10,10
anus-questions,2014-11,13
anus-questions,2014-12,6
anxiety-questions,2010-06,11
anxiety-questions,2010-08,4
anxiety-questions,2010-11,4
anxiety-questions,2012-10,34
anxiety-questions,2012-11,37
anxiety-questions,2012-12,17
anxiety-questions,2013-01,33
anxiety-questions,2013-02,19
anxiety-questions,2013-03,11
anxiety-questions,2013-04,10
anxiety-questions,2013-05,8
anxiety-questions,2013-06,12
anxiety-questions,2013-07,12
anxiety-questions,2013-08,14
anxiety-questions,2013-09,11
anxiety-questions,2013-10,11
anxiety-questions,2013-11,16
anxiety-questions,2013-12,8
anxiety-questions,2014-01,12
anxiety-questions,2014-02,17
anxiety-questions,2014-03,20
anxiety-questions,2014-04,13
anxiety-questions,2014-05,16
anxiety-questions,2014-06,12
anxiety-questions,2014-07,22
anxiety-questions,2014-08,8
anxiety-questions,2014-09,14
anxiety-questions,2014-10,5
anxiety-questions,2014-11,18
anxiety-questions,2014-12,7
aorta-questions,2013-11,2
aorta-questions,2014-03,2
aorta-questions,2014-04,2
aorta-questions,2014-05,3
aorta-questions,2014-07,4
aorta-questions,2014-08,2
aortic-aneurysm-questions,2014-06,2
aortic-dissection-questions,2014-02,2
aortic-stenosis-questions,2013-04,2
aortic-stenosis-questions,2014-03,2
apathy-questions,2014-12,2
apnea-questions,2013-02,2
apnea-questions,2013-06,3
apnea-questions,2014-02,2
appendectomy-questions,2013-08,2
appendectomy-questions,2014-01,2
appendectomy-questions,2014-10,2
appendicitis-questions,2013-07,2
appendicitis-questions,2013-08,2
appendicitis-questions,2013-10,2
appendicitis-questions,2014-01,6
appendicitis-questions,2014-08,2
appendicitis-questions,2014-11,2
appendix-questions,2012-10,6
appendix-questions,2012-11,8
appendix-questions,2013-01,2
appendix-questions,2013-04,3
appendix-questions,2013-05,2
appendix-questions,2013-06,5
appendix-questions,2013-07,2
appendix-questions,2013-08,2
appendix-questions,2013-10,9
appendix-questions,2013-12,2
appendix-questions,2014-01,4
appendix-questions,2014-02,2
appendix-questions,2014-03,2
appendix-questions,2014-04,11
appendix-questions,2014-06,2
appendix-questions,2014-09,2
appendix-questions,2014-10,2
appendix-questions,2014-11,4
armpit-questions,2012-10,12
armpit-questions,2012-11,18
armpit-questions,2012-12,8
armpit-questions,2013-01,6
armpit-questions,2013-02,8
armpit-questions,2013-07,4
armpit-questions,2013-08,2
armpit-questions,2013-09,7
armpit-questions,2013-10,4
armpit-questions,2013-11,4
armpit-questions,2014-01,2
armpit-questions,2014-02,2
armpit-questions,2014-03,2
armpit-questions,2014-04,8
armpit-questions,2014-05,2
armpit-questions,2014-06,4
armpit-questions,2014-07,5
armpit-questions,2014-08,2
armpit-questions,2014-09,5
armpit-questions,2014-10,2
armpit-questions,2014-11,2
armpit-questions,2014-12,2
arm-questions,2010-06,2
arm-questions,2010-08,2
arm-questions,2012-10,104
arm-questions,2012-11,60
arm-questions,2012-12,69
arm-questions,2013-01,43
arm-questions,2013-02,30
arm-questions,2013-03,46
arm-questions,2013-04,17
arm-questions,2013-05,8
arm-questions,2013-06,33
arm-questions,2013-07,41
arm-questions,2013-08,17
arm-questions,2013-09,32
arm-questions,2013-10,38
arm-questions,2013-11,24
arm-questions,2013-12,32
arm-questions,2014-01,16
arm-questions,2014-02,20
arm-questions,2014-03,23
arm-questions,2014-04,45
arm-questions,2014-05,18
arm-questions,2014-06,13
arm-questions,2014-07,34
arm-questions,2014-08,13
arm-questions,2014-09,23
arm-questions,2014-10,8
arm-questions,2014-11,16
arm-questions,2014-12,6
arrhythmia-questions,2010-07,17
arrhythmia-questions,2013-09,3
arrhythmia-questions,2014-05,2
arrhythmia-questions,2014-07,2
arrhythmia-questions,2014-08,2
arrhythmias-questions,2013-10,2
artery-questions,2012-10,9
artery-questions,2012-11,2
artery-questions,2012-12,10
artery-questions,2013-07,4
artery-questions,2013-08,2
artery-questions,2013-10,2
artery-questions,2013-11,8
artery-questions,2014-01,2
artery-questions,2014-02,2
artery-questions,2014-03,8
artery-questions,2014-04,7
artery-questions,2014-05,6
artery-questions,2014-06,6
artery-questions,2014-07,5
artery-questions,2014-09,4
artery-questions,2014-10,5
artery-questions,2014-11,2
arthritis-questions,2010-08,5
arthritis-questions,2012-10,5
arthritis-questions,2012-11,9
arthritis-questions,2012-12,9
arthritis-questions,2013-01,8
arthritis-questions,2013-02,11
arthritis-questions,2013-03,7
arthritis-questions,2013-04,5
arthritis-questions,2013-05,2
arthritis-questions,2013-06,4
arthritis-questions,2013-07,9
arthritis-questions,2013-08,5
arthritis-questions,2013-09,3
arthritis-questions,2013-10,6
arthritis-questions,2013-12,4
arthritis-questions,2014-01,8
arthritis-questions,2014-02,10
arthritis-questions,2014-03,6
arthritis-questions,2014-04,4
arthritis-questions,2014-05,4
